Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Month""), customer_month)",Firefox 117.0,,,2023-09-24 17:12:11,2023-09-24 17:12:11,0.637s,PASSED
"setText(findTestObject(""Obj Spy/Purchase_product/inpt_Year""), customer_year)",Firefox 117.0,,,2023-09-24 17:12:11,2023-09-24 17:12:12,0.640s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/button_Purchase""))",Firefox 117.0,,,2023-09-24 17:12:12,2023-09-24 17:12:13,0.571s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/button_Purchase""), 0)",Firefox 117.0,,,2023-09-24 17:12:13,2023-09-24 17:12:13,0.783s,PASSED
"verifyElementPresent(findTestObject(""Obj Spy/Purchase_product/button_Purchase""), 0)",Firefox 117.0,,,2023-09-24 17:12:13,2023-09-24 17:12:14,0.306s,PASSED
closeBrowser(),Firefox 117.0,,,2023-09-24 17:12:14,2023-09-24 17:12:15,0.935s,PASSED
,,,,,,,
Test Cases/TC_QuizWeek3/TestScenarios_QuizWeek3/DemoBlaze_PurchaseProduct/TC_PurchaseProduct_Positive-Case,Firefox 117.0,,,2023-09-24 17:12:15,2023-09-24 17:12:34,19.262s,PASSED
openBrowser(baseURL),Firefox 117.0,,,2023-09-24 17:12:15,2023-09-24 17:12:20,5.102s,PASSED
"setViewPortSize(ViewPortWidth, ViewPortHeight)",Firefox 117.0,,,2023-09-24 17:12:20,2023-09-24 17:12:20,0.340s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/addProduct_SamsungS6""))",Firefox 117.0,,,2023-09-24 17:12:20,2023-09-24 17:12:22,1.666s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/lbl_Product""), 0)",Firefox 117.0,,,2023-09-24 17:12:22,2023-09-24 17:12:23,1.377s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_AddToCart""))",Firefox 117.0,,,2023-09-24 17:12:23,2023-09-24 17:12:24,0.345s,PASSED
"waitForElementVisible(findTestObject(""Obj Spy/Purchase_product/click_Cart""), 0)",Firefox 117.0,,,2023-09-24 17:12:24,2023-09-24 17:12:24,0.699s,PASSED
"click(findTestObject(""Obj Spy/Purchase_product/click_Cart""))",Firefox 117.0,,,2023-09-24 17:12:24,2023-09-24 17:12:25,0.927s,PASSED
